代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),季度,16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億)
6187,萬潤,241,-14.5,-5.68,0.29,0.35,0.34,0.77,-0.09,0.02,0.5,0.23,0.02,0.26,0.35,0.83,-0.05,2019Q1,,,,,,,,,,,,
6188,廣明,76.5,-1.5,-1.92,0.67,0.85,1.26,2.18,-1.14,0.08,1.36,1.38,-0.27,1.11,0.75,0.43,-0.02,2019Q1,,,,,,,,,,,,
6190,萬泰科,34.3,-1.15,-3.24,0.12,0.32,0.07,0.61,-0.58,-0.07,0.14,0.19,0.02,0.27,0.23,-0.13,0.37,2019Q1,,,,,,,,,,,,
6194,育富,33,-0.4,-1.2,0.15,0.06,0.17,0.41,-0.1,0.01,0.25,0.23,-0.05,0.23,0.2,0,0.34,2019Q1,,,,,,,,,,,,
6195,詩肯,31.5,-0.15,-0.47,-0.01,0.01,0.13,-0.02,0.08,0,0.02,-0.11,-0.02,-0.07,-0.08,-0.05,0.01,2019Q1,,,,,,,,,,,,
6199,天品,118.5,+5.5,+4.87,0.03,0.3,-0.46,-0.22,0.23,0,-0.06,0,0.17,-0.05,0.06,0.36,-0.04,2019Q1,,,,,,,,,,,,
6203,海韻電,61.7,-2.2,-3.44,0.38,0.81,0.3,1.04,-0.44,0.03,0.23,0.92,-0.96,1.34,0.7,0.12,0.45,2019Q1,,,,,,,,,,,,
6204,艾華,50.8,+2.7,+5.61,0.4,0.06,0.06,0.1,0,-0.01,4.42,0.02,0,0.04,0.05,0,0.05,2019Q1,,,,,,,,,,,,
6207,雷科,39.6,-1.4,-3.41,0.18,0.23,0.24,0.43,-0.58,0.46,0.38,0.38,-0.32,0.71,0.18,0.02,0,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6208,日揚,40.8,-0.3,-0.73,0.03,0.23,0.22,0.22,0.06,-0.09,-0.06,0.02,-0.14,0,-0.01,-0.09,0.04,2019Q1,,,,,,,,,,,,
6212,理銘,49.25,-1.25,-2.48,-0.01,0,-0.01,0,-0.01,0,-0.01,-0.02,-0.05,0,0.01,-0.03,-0.02,2019Q1,,,,,,,,,,,,
6219,富旺,28.9,-1.05,-3.51,-0.64,-2.49,-4.49,-0.83,-0.86,0.41,0.37,-0.08,-0.07,0.55,-0.06,-0.04,-0.05,2019Q1,,,,,,,,,,,,
6220,岳豐,21.35,-0.25,-1.16,1.38,-0.18,-0.13,19.8,-1.36,-0.29,0.99,-0.63,-0.2,-0.2,-0.25,-0.64,-0.25,2019Q1,,,,,,,,,,,,
6221,晉泰,62.3,+2.3,+3.83,0.12,0.09,0.06,0.26,0.1,-0.01,0.04,0.11,0.05,0.07,0.15,0.14,0.44,2019Q1,,,,,,,,,,,,
6223,旺矽,620,-26,-4.02,0.52,0.74,0.44,0.86,-0.07,0.07,0.16,1.04,-0.16,0.96,0.87,0.27,1.03,2019Q1,,,,,,,,,,,,
6227,茂綸,87.4,-2.3,-2.56,-0.14,0.17,-0.09,-0.14,0.03,-0.12,-0.5,-0.52,-0.88,0.1,0.07,-0.25,0.44,2019Q1,,,,,,,,,,,,
6229,研通,24,+0.85,+3.67,0.11,0.29,0.25,0.3,-0.17,0.04,0.11,0.22,-0.08,0.17,0.1,-0.01,0.12,2019Q1,,,,,,,,,,,,
6231,系微,241,-3.5,-1.43,0.07,0.06,0.09,0.15,0.02,0.03,0.05,0.12,-0.06,0.13,0.11,0.05,0.12,2019Q1,,,,,,,,,,,,
6233,旺玖,19.5,-0.6,-2.99,0.1,0.08,0.09,0.24,0.01,0.05,0.08,0.21,0.02,0.08,0.09,0.19,0.09,2019Q1,,,,,,,,,,,,
6234,高僑,21.5,-0.15,-0.69,0.16,0.34,0.14,0.39,-0.16,0.07,0.07,0.39,-0.21,0.43,0.22,0.07,0.14,2019Q1,,,,,,,,,,,,
6240,松崗,18.25,-0.3,-1.62,0.08,-0.02,0.5,-0.06,0.24,0.03,-0.05,-0.04,0.1,-0.04,0.6,-0.27,-0.05,2019Q1,,,,,,,,,,,,
6242,立康,41,-0.5,-1.2,0.02,0,0,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.02,2019Q1,,,,,,,,,,,,
6244,茂迪,17.85,-0.85,-4.55,-0.15,0.13,0.2,0.18,-1.11,-0.01,0.11,0.1,-1.14,0.2,-0.3,0.06,-0.24,2019Q1,,,,,,,,,,,,
6245,立端,83.3,-1.9,-2.23,0.24,0.27,0.19,0.98,-0.57,-0.03,0.34,0.46,-0.38,0.67,0.4,0,0.59,2019Q1,,,,,,,,,,,,
6248,沛波,24.95,-0.3,-1.19,0.12,-0.02,-0.01,0,-0.09,-0.01,0,-0.07,0.85,0.01,0.95,-0.03,-0.16,2019Q1,,,,,,,,,,,,
6259,百徽,16.45,0,0,0.02,0.09,0.02,0.04,-0.06,0,0.03,0.07,-0.04,0.07,0.04,-0.02,0.01,2019Q1,,,,,,,,,,,,
6261,久元,61.6,0,0,0.25,-0.09,0.51,0.78,-0.16,0.04,-0.01,0.63,-0.45,0.46,0.2,0.12,0.93,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6263,普萊德,139,-3.5,-2.46,0.08,0.05,0.07,0.08,0.03,0.09,0.08,0.1,0.03,0.1,0.1,0.07,0.12,2019Q1,,,,,,,,,,,,
6264,富裔,7.97,-0.31,-3.74,0.03,-0.13,-0.1,-0.1,-0.18,-0.09,-0.12,-0.12,0.72,0.03,0.27,-0.13,0.36,2019Q1,,,,,,,,,,,,
6265,方土昶,9.8,+0.41,+4.37,0.13,0.14,0.08,0.32,-0.05,0.03,0.2,0.31,-0.24,0.41,0.3,-0.18,0.21,2019Q1,,,,,,,,,,,,
6266,泰詠,31.65,-0.35,-1.09,0.13,0.08,0.17,0.21,-0.08,0.06,0.28,0.26,-0.16,0.32,0.18,0.05,0.23,2019Q1,,,,,,,,,,,,
6270,倍微,21.65,-0.1,-0.46,0.1,0.01,0,0.27,0.03,0.03,0.04,0.39,0.06,0.05,0.09,0.2,0.09,2019Q1,,,,,,,,,,,,
6274,台燿,139.5,+2.5,+1.82,0.25,0.18,0.11,0.89,0.06,0.56,0.24,0.61,-0.16,0.33,0.12,-0.07,0.08,2019Q1,,,,,,,,,,,,
6275,元山,38.8,-0.4,-1.02,0.37,0.32,0.18,0.36,-0.09,0.05,0.22,0.23,2.5,0.28,0.17,-0.04,0.25,2019Q1,,,,,,,,,,,,
6279,胡連,139.5,-4,-2.79,0.33,0.5,-0.07,2.09,-0.33,0.11,-0.41,0.55,-0.43,0.66,0.8,0.7,-0.23,2019Q1,,,,,,,,,,,,
6284,佳邦,66.5,-1.2,-1.77,0.5,0.55,0.76,1.58,-0.85,-0.19,1.08,1.23,-1.37,1.65,0.86,-0.77,1.47,2019Q1,,,,,,,,,,,,
6290,良維,71.2,-1.3,-1.79,0.67,1.15,0.87,1.66,-0.25,0.29,0.1,1.77,-0.96,1.29,0.9,0.05,1.16,2019Q1,,,,,,,,,,,,
6291,沛亨,77,-2,-2.53,0.1,0.16,0.18,0.35,-0.15,-0.03,0.19,0.3,-0.34,0.35,0.19,-0.11,0.18,2019Q1,,,,,,,,,,,,
6292,迅德,52.5,-0.1,-0.19,0.26,0.47,-0.81,0.48,0.16,0.11,0.69,0.65,0.06,1.18,0.38,-0.27,0.04,2019Q1,,,,,,,,,,,,
6294,智基,55.7,-0.6,-1.07,0.03,0.01,0,0.03,0.01,0.04,0.12,-0.11,0.09,0.12,0.1,-0.08,-0.02,2019Q1,,,,,,,,,,,,
6411,晶焱,69.5,-1.3,-1.84,0.29,0.55,0.52,0.98,-0.38,-0.03,0.43,0.59,-0.47,0.55,0.31,-0.18,0.67,2019Q1,,,,,,,,,,,,
6417,韋僑,84.2,-0.1,-0.12,0.05,0.06,0.1,0.16,0,-0.02,0.06,0.12,-0.05,0.09,0.05,0,0.06,2019Q1,,,,,,,,,,,,
6418,詠昇,16.8,-0.05,-0.3,0.02,-0.02,0.06,0.09,-0.07,-0.03,0.09,0,-0.03,0.05,0.04,-0.07,0.08,2019Q1,,,,,,,,,,,,
6419,京晨科,75.8,+0.5,+0.66,0.18,0.23,0.04,0.64,0.13,-0.01,0.07,0.17,-0.12,0.41,-0.03,0.36,0.23,2019Q1,,,,,,,,,,,,
6425,易發,52.6,-0.9,-1.68,0.02,0.15,0.04,0.18,-0.15,-0.04,0,0.04,-0.03,0.04,-0.04,0.01,-0.02,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6432,今展科,26.3,-0.1,-0.38,0.09,0.13,0.17,0.33,-0.12,0.02,0.14,0.18,-0.18,0.18,0.09,-0.08,0.21,2019Q1,,,,,,,,,,,,
6435,大中,87.2,-2.5,-2.79,0.12,0.23,0.2,0.2,-0.01,-0.07,0.13,0.3,-0.1,0.2,0.1,0.07,0.16,2019Q1,,,,,,,,,,,,
6469,大樹,157.5,-1.5,-0.94,0.09,0.1,0.08,0.06,-0.03,0.11,0.06,0.07,0.12,0.12,0.16,0.12,0.06,2019Q1,,,,,,,,,,,,
6470,宇智,45.4,-0.95,-2.05,0.12,0.18,0.2,0.44,-0.22,-0.09,0.24,0.33,-0.3,0.28,0.12,-0.17,0.39,2019Q1,,,,,,,,,,,,
6482,弘煜科,65.6,-3.5,-5.07,0.01,0.03,-0.02,0.06,0.01,-0.01,-0.02,0.04,-0.03,0.03,-0.01,0.06,0.01,2019Q1,,,,,,,,,,,,
6486,互動,78.8,-0.1,-0.13,0.02,-0.03,-0.03,-0.03,0.02,0.02,0.02,0.04,0.03,0.05,0.03,0.04,0.08,2019Q1,,,,,,,,,,,,
6488,環球晶,296,-8.5,-2.79,-0.11,-55.9,-23.9,6.9,24.1,7.83,15.6,23.2,17.8,5.9,1.65,3.43,-27.9,2019Q1,,,,,,,,,,,,
6494,九齊,40.35,-0.2,-0.49,0.09,0.23,0.3,0.43,-0.17,-0.05,0.09,0.09,-0.1,0.12,0.08,-0.03,0.12,2019Q1,,,,,,,,,,,,
6506,雙邦,14.65,+0.05,+0.34,0.18,1.93,0.07,0.12,-0.21,0.07,0.03,0.05,0.07,0.04,0.1,-0.05,-0.07,2019Q1,,,,,,,,,,,,
6508,惠光,26.8,+0.1,+0.37,0.16,0.3,0.29,0.71,-0.29,-0.04,0.27,0.35,-0.31,0.3,0.15,-0.04,0.21,2019Q1,,,,,,,,,,,,
6509,聚和,30.65,0,0,0.04,0.08,0.09,0.31,-0.14,-0.11,0.09,-0.02,-0.02,-0.01,0.04,-0.02,0.14,2019Q1,,,,,,,,,,,,
6510,精測,631,+8,+1.28,0.12,0.17,0.1,0.24,-0.07,0.02,0.15,0.2,-0.05,0.22,0.14,0.03,0.25,2019Q1,,,,,,,,,,,,
6516,勤崴國際,75,+2.8,+3.88,0.08,0.04,0.05,0.06,-0.03,0.02,0.08,0.1,0.06,0.13,0.21,0.12,0.15,2019Q1,,,,,,,,,,,,
6517,保勝光學,68,+0.1,+0.15,0.05,0.04,0,0.09,-0.04,0.01,0.11,0.19,-0.14,0.21,0.11,-0.06,0.13,2019Q1,,,,,,,,,,,,
6523,達爾膚,136.5,-1.5,-1.09,0.13,0.25,0.14,0.14,0,0.04,0.17,0.27,-0.13,0.28,0.17,0.01,0.24,2019Q1,,,,,,,,,,,,
6527,明達醫,81.3,-0.2,-0.25,0.03,0.1,0.04,0.09,-0.05,-0.02,0.04,0.05,-0.05,0.07,0.03,-0.02,0.06,2019Q1,,,,,,,,,,,,
6530,創威,44.1,-1.45,-3.18,0.02,0.01,0.02,0.04,0,0,0.03,0.03,-0.01,0.03,0.02,0,0.04,2019Q1,,,,,,,,,,,,
6532,瑞耘,60.4,-1.3,-2.11,0.03,0.04,0.06,0.11,-0.04,-0.02,0.04,0.07,-0.05,0.05,0.03,-0.03,0.07,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6538,倉和,94.7,-1.9,-1.97,0.05,0.26,0.14,0.14,-0.11,0,0.07,0.21,-0.29,0.19,0.12,-0.22,0.07,2019Q1,,,,,,,,,,,,
6542,隆中,54.9,+1.4,+2.62,0.06,0.1,0.1,0.2,-0.08,-0.01,0.1,0.1,-0.1,0.14,0.09,-0.05,0.17,2019Q1,,,,,,,,,,,,
6546,正基,90.7,-4.2,-4.43,0.2,0.4,0.3,0.54,-0.24,0,0.31,0.54,-0.35,0.44,0.21,-0.16,0.45,2019Q1,,,,,,,,,,,,
6548,長科*,35,+0.1,+0.29,1.45,0.85,1.37,3.55,-0.65,0.7,2.21,2.45,-0.14,2.33,2.09,0.38,2.24,2019Q1,,,,,,,,,,,,
6556,勝品,76,+1.5,+2.01,0.05,0.09,0.15,0.31,-0.18,-0.08,0.05,0.12,-0.16,0.11,0.06,-0.09,0.17,2019Q1,,,,,,,,,,,,
6561,是方,402,-0.5,-0.12,0,-0.01,0.01,0.1,-0.06,0,0.04,0.06,-0.1,0.03,-0.02,-0.05,0.03,2019Q1,,,,,,,,,,,,
6568,宏觀,95.9,-3.1,-3.13,0.03,0.05,-0.05,0.01,-0.11,0.15,-0.03,0.1,-0.02,0.1,0.01,0.05,0.16,2019Q1,,,,,,,,,,,,
6569,醫揚,125,-3,-2.34,0.25,0.18,0.17,0.45,0.16,0.29,0.3,0.32,-0.04,0.34,0.29,0.33,0.21,2019Q1,,,,,,,,,,,,
6570,維田,41,-1,-2.38,0.03,0.05,0.05,0.14,-0.05,-0.03,0.07,0.05,-0.02,0.04,0.03,-0.04,0.04,2019Q1,,,,,,,,,,,,
6574,霈方,53.5,0,0,0.05,-0.01,0.02,0.16,0.14,0.12,0.14,-0.21,-0.02,-0.02,0.05,0.17,0.11,2019Q1,,,,,,,,,,,,
6577,勁豐,90.5,-0.2,-0.22,0.14,0.18,0.13,0.33,-0.15,0.08,0.28,0.31,-0.3,0.3,0.31,-0.07,0.28,2019Q1,,,,,,,,,,,,
6578,達邦蛋白,17.35,-0.05,-0.29,0,0.11,0,0.07,-0.05,0,-0.02,-0.15,-0.09,0.09,0.04,0.03,0.02,2019Q1,,,,,,,,,,,,
6584,南俊國際,125,-6,-4.58,0.1,0.32,0.29,0.5,-0.24,-0.02,0.06,0.13,-0.22,0.16,0.11,-0.05,0.15,2019Q1,,,,,,,,,,,,
6590,普鴻,71.4,+1.4,+2,0.07,0.07,-0.08,0.06,0.04,0.17,0.15,-0.01,0.08,0.11,0.06,-0.03,0.17,2019Q1,,,,,,,,,,,,
6593,台灣銘板,43.5,-1.1,-2.47,-0.01,0.01,-0.01,0,-0.01,-0.01,-0.03,0,-0.01,-0.01,0,0,-0.01,2019Q1,,,,,,,,,,,,
6596,寬宏藝術,85.6,-0.4,-0.47,0.04,0.19,-0.03,0.16,-0.01,0.21,0.07,0.08,-0.01,0.03,-0.07,0.05,-0.14,2019Q1,,,,,,,,,,,,
6603,富強鑫,15.05,-0.1,-0.66,0.02,0.05,0.09,-0.07,-0.11,0.1,0.02,-0.02,0.09,0.04,0.15,0.05,-0.12,2019Q1,,,,,,,,,,,,
6609,瀧澤科,49.9,-2.4,-4.59,0.16,0.46,-0.09,0.39,0.18,-0.03,-0.2,0.56,-0.22,0.27,0.15,0.29,0.1,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6612,奈米醫材,108,+0.5,+0.47,0.05,0,0.05,0.09,0.05,0,0.07,0.08,-0.11,0.05,0.1,0.16,0.11,2019Q1,,,,,,,,,,,,
6613,朋億*,159.5,-3.5,-2.15,0.3,0.52,0.26,0.74,-0.48,-0.05,0.3,0.48,0.18,0.52,0.3,0.26,0.61,2019Q1,,,,,,,,,,,,
6615,慧智,32.9,-1.2,-3.52,0.08,0.09,0.06,0.06,0.23,0.07,0.07,0.06,0.04,0.06,0.07,0.08,0.06,2019Q1,,,,,,,,,,,,
6624,萬年清,35.75,0,0,0.01,0.04,0.03,0.05,-0.09,-0.01,0.04,0.06,-0.06,0.04,0.02,-0.03,0.09,2019Q1,,,,,,,,,,,,
6629,泰金-KY,98.6,+8.9,+9.92,0.03,0.14,-0.07,0.05,-0.13,-0.03,0.08,0.21,-0.25,0.26,0.08,-0.48,0.51,2019Q1,,,,,,,,,,,,
6637,醫影,74.5,0,0,-0.03,,-0.13,-0.05,0.16,0,-0.07,-0.29,-0.06,-0.01,0,0.02,0.07,2019Q1,,,,,,,,,,,,
6640,均華,352,-16.5,-4.48,0.11,0.18,0.14,0.3,-0.09,-0.08,0.21,0.13,-0.26,0.37,0.18,-0.05,0.29,2019Q1,,,,,,,,,,,,
6642,富致,55.1,-0.5,-0.9,0.08,0.17,0.18,0.4,-0.08,-0.05,0.02,0.06,-0.03,0.08,0.08,0.01,0.11,2019Q1,,,,,,,,,,,,
6643,M31,499,-19,-3.67,0.2,0.24,0.22,0.56,-0.27,0.43,0.27,0.35,-0.39,0.51,0.19,-0.13,0.4,2019Q1,,,,,,,,,,,,
6651,全宇昕,79,-2.9,-3.54,0.12,0.23,0.25,0.26,-0.22,-0.06,0.23,0.38,-0.47,0.5,0.21,-0.1,0.2,2019Q1,,,,,,,,,,,,
6661,威健生技,19.3,+0.1,+0.52,0,-0.01,-0.03,0,0,0,0.02,0,-0.01,-0.01,0,0.01,0.01,2019Q1,,,,,,,,,,,,
6662,樂斯科,32.2,-0.3,-0.92,0.01,0,0.01,0.02,0.02,0.02,0.03,0.02,0.04,0,-0.04,0.02,0.01,2019Q1,,,,,,,,,,,,
6664,群翊,173.5,-4.5,-2.53,0.57,0.49,0.47,1.12,-0.28,0.22,0.88,1.44,-0.63,1.38,0.66,-0.26,1.33,2019Q1,,,,,,,,,,,,
6667,信紘科,177,+0.5,+0.28,0.13,0.09,0.11,0.14,0.07,0.06,0.17,0.22,-0.02,0.23,0.19,0.01,0.29,2019Q1,,,,,,,,,,,,
6679,鈺太,203,-14.5,-6.67,0.33,0.46,0.06,0.94,-0.23,0.03,0.37,0.94,-0.57,1.04,0.36,-0.04,0.56,2019Q1,,,,,,,,,,,,
6680,鑫創電子,74.8,-2.9,-3.73,0.07,0.08,0.07,0.13,-0.08,-0.01,0.09,0.1,-0.09,0.12,0.05,-0.03,0.41,2019Q1,,,,,,,,,,,,
6683,雍智科技,280.5,-13.5,-4.59,0.15,0.24,0.18,0.36,-0.12,0.04,0.03,0.43,-0.31,0.37,0.22,0.03,0.28,2019Q1,,,,,,,,,,,,
6690,安碁資訊,171,-3,-1.72,-0.01,-0.02,-0.01,0.01,0.03,-0.01,0.01,-0.01,0,0,-0.01,-0.07,-0.03,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6692,進能服,36.7,+0.7,+1.94,0.05,0.01,0.05,0,0.04,0,0.01,-0.01,-0.01,-0.01,0,0,0.5,2019Q1,,,,,,,,,,,,
6693,廣閎科,59.4,-2.2,-3.57,0.1,0.14,0.15,0.37,-0.14,-0.03,0.14,0.25,-0.32,0.37,0.16,-0.12,0.29,2019Q1,,,,,,,,,,,,
6697,東捷資訊,42.25,-0.05,-0.12,0.04,0.02,0.04,0.03,0.07,0.01,0.06,0.03,0.03,0.02,0.07,0.03,0.04,2019Q1,,,,,,,,,,,,
6703,軒郁,133.5,-1,-0.74,0.01,0.02,-0.08,0.01,0.12,0.03,0.03,-0.01,-0.01,-0.02,0,0.08,-0.03,2019Q1,,,,,,,,,,,,
6712,長聖,167.5,0,0,0.25,-0.48,-0.13,-0.2,0.62,0.97,0.07,1.89,-0.07,-0.35,0.53,-0.56,0.77,2019Q1,,,,,,,,,,,,
6716,應廣,54.7,+0.3,+0.55,0.04,0.3,0.13,0.32,-0.19,-0.07,-0.04,0.18,-0.18,0.15,0.06,-0.01,-0.11,2019Q1,,,,,,,,,,,,
6720,久昌,135.5,-3.5,-2.52,0.07,,0.17,,0.24,0.03,0.01,0.07,-0.08,0.09,0.06,-0.02,0.13,2019Q1,,,,,,,,,,,,
6721,信實,55.5,-0.1,-0.18,0.05,0.01,0,0,0.1,0.1,0.08,0,0.05,0,0.08,0.12,0.06,2019Q1,,,,,,,,,,,,
6727,亞泰金屬,59.1,+1.1,+1.9,0.19,0.53,0.34,0.65,-0.14,0.03,0.15,0.33,-0.11,0.17,0.12,0.06,0.11,2019Q1,,,,,,,,,,,,
6728,上洋,148,+1,+0.68,-0.02,0.01,0,-0.01,-0.03,-0.02,0,-0.02,-0.02,-0.04,-0.07,-0.03,-0.01,2019Q1,,,,,,,,,,,,
6732,昇佳電子,189.5,-3.5,-1.81,0.28,0.31,0.12,0.48,0.08,0.2,0.25,0.61,0.17,0.32,0.33,0.23,0.3,2019Q1,,,,,,,,,,,,
6735,美達科技,43.3,-1.6,-3.56,0.06,0.09,0.09,0.17,-0.03,0.01,0.01,0.14,-0.04,0.11,0.07,0.05,0.05,2019Q1,,,,,,,,,,,,
6739,竹陞科技,203,-7.5,-3.56,0.03,,0.04,,0.05,0,0.03,0.02,-0.03,0.03,0.11,0.09,0,2019Q1,,,,,,,,,,,,
6741,91APP*-KY,82.5,-0.3,-0.36,0.16,0.05,0.07,0.2,-0.16,0.07,0.42,0.48,-0.02,0.37,0.27,0.15,0.07,2019Q1,,,,,,,,,,,,
6747,亨泰光,143,-1,-0.69,0.09,0.19,0.23,0.25,-0.15,0.01,0.19,0.23,-0.11,0.21,0.1,-0.03,-0.08,2019Q1,,,,,,,,,,,,
6751,智聯服務,47.7,-0.8,-1.65,0.05,0.01,0.01,0.15,0.06,0,0.02,0.05,0.01,0.06,0.08,0.06,0.05,2019Q1,,,,,,,,,,,,
6752,叡揚,129.5,-1,-0.77,0.02,0.02,0.07,-0.01,-0.01,0.03,0.05,-0.01,0.01,-0.05,0.1,0.09,-0.1,2019Q1,,,,,,,,,,,,
6761,穩得,90.7,-3.2,-3.41,0.03,0.09,0.04,0.13,-0.09,-0.03,-0.05,0.09,-0.17,0.16,0.06,0.01,0.06,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
6762,達亞,239.5,-0.5,-0.21,0.08,0.26,0.27,0.34,-0.05,-0.05,0.11,0.13,-0.23,0.12,0.03,-0.1,0.16,2019Q1,,,,,,,,,,,,
6763,綠界科技*,55.2,-1.3,-2.3,0.13,0.01,0.07,0.07,0.14,0.12,0.15,0.21,0.24,0.1,0.06,0.19,0.18,2019Q1,,,,,,,,,,,,
6785,昱展新藥,121,-1,-0.82,0.1,0,0.1,0.03,0.01,-0.01,0.1,0.15,-0.19,0.4,0.25,-0.11,0.51,2019Q1,,,,,,,,,,,,
6788,華景電,173,-5,-2.81,0.04,0.05,0.07,0.04,-0.02,0.01,0.05,0.07,-0.11,0.11,0.06,-0.03,0.16,2019Q1,,,,,,,,,,,,
6791,虎門科技,115,-1,-0.86,0.03,0.02,0.01,0.02,0.03,0.02,0.03,0.02,0.05,0.09,0.03,0.05,0.07,2019Q1,,,,,,,,,,,,
6803,崑鼎,287,+0.5,+0.17,0.37,0.09,0.17,0.29,0.43,0.22,0.52,0.31,0.57,0.31,0.49,0.25,0.81,2019Q1,,,,,,,,,,,,
6811,宏碁資訊,212,-6.5,-2.97,0.05,0.01,0.03,0.26,-0.01,0.01,0.11,0.16,-0.02,0.04,0.06,-0.02,0.03,2019Q1,,,,,,,,,,,,
6821,聯寶,36,-0.25,-0.69,0.06,0.07,0.11,0.21,-0.06,-0.01,0.12,0.06,-0.02,0.09,0.07,-0.03,0.13,2019Q1,,,,,,,,,,,,
6829,千附精密,141,+12.5,+9.73,0.15,0.19,0.27,0.69,-0.11,-0.03,0.1,0.14,-0.24,0.33,0.16,-0.17,0.42,2019Q1,,,,,,,,,,,,
6840,東研信超,41.7,-0.8,-1.88,0.05,0.07,0.07,0.11,0.09,-0.01,0.02,0.09,-0.07,0.07,0.08,-0.05,0.1,2019Q1,,,,,,,,,,,,
6841,長佳智能,66.6,-1.4,-2.06,0.25,0.02,0.02,0.03,2.01,0.37,0.18,-0.26,0.32,-0.17,0.12,0.02,0.28,2019Q1,,,,,,,,,,,,
6843,進典,50.5,+1.35,+2.75,0.03,0.01,0.06,0.07,0.01,-0.01,0.02,0.1,0.11,0.06,-0.01,-0.07,0.03,2019Q1,,,,,,,,,,,,
